[-5.0, -5.0, -5.0],0.043128903010426205
[-5.0, -5.0, -4.5],0.04404312797135399
[-5.0, -5.0, -4.0],0.04483286274679115
[-5.0, -5.0, -3.5],0.04547523815331446
[-5.0, -5.0, -3.0],0.04595014993795134
[-5.0, -5.0, -2.5],0.04624183383121567
[-5.0, -5.0, -2.0],0.04634021702715916
[-5.0, -5.0, -1.5],0.04624183383121567
[-5.0, -5.0, -1.0],0.04595014993795134
[-5.0, -5.0, -0.5],0.04547523815331446
[-5.0, -5.0, 0.0],0.04483286274679115
[-5.0, -5.0, 0.5],0.04404312797135399
[-5.0, -5.0, 1.0],0.043128903010426205
[-5.0, -5.0, 1.5],0.04211424092233845
[-5.0, -5.0, 2.0],0.041022970538649624
[-5.0, -5.0, 2.5],0.03987757645580858
[-5.0, -5.0, 3.0],0.038698414143752906
[-5.0, -5.0, 3.5],0.037503250598902076
[-5.0, -5.0, 4.0],0.036307083589890224
[-5.0, -5.0, 4.5],0.03512217477951486
[-5.0, -5.0, 5.0],0.03395822975507082
[-5.0, -4.5, -5.0],0.044743153296421534
[-5.0, -4.5, -4.5],0.045758527514136706
[-5.0, -4.5, -4.0],0.04663891101904902
[-5.0, -4.5, -3.5],0.04735729558736287
[-5.0, -4.5, -3.0],0.04788973107561498
[-5.0, -4.5, -2.5],0.04821731102098134
[-5.0, -4.5, -2.0],0.048327899426691606
[-5.0, -4.5, -1.5],0.04821731102098134
[-5.0, -4.5, -1.0],0.04788973107561498
[-5.0, -4.5, -0.5],0.04735729558736287
[-5.0, -4.5, 0.0],0.04663891101904902
[-5.0, -4.5, 0.5],0.045758527514136706
[-5.0, -4.5, 1.0],0.044743153296421534
[-5.0, -4.5, 1.5],0.04362089818096355
[-5.0, -4.5, 2.0],0.04241927404083921
[-5.0, -4.5, 2.5],0.0411638886132747
[-5.0, -4.5, 3.0],0.03987757645580858
[-5.0, -4.5, 3.5],0.03857993830492657
[-5.0, -4.5, 4.0],0.037287216106366254
[-5.0, -4.5, 4.5],0.03601241388816531
[-5.0, -4.5, 5.0],0.034765577219312636
[-5.0, -4.0, -5.0],0.04634021702715916
[-5.0, -4.0, -4.5],0.04746246132406855
[-5.0, -4.0, -4.0],0.04843919745646603
[-5.0, -4.0, -3.5],0.04923878874077377
[-5.0, -4.0, -3.0],0.04983293035334045
[-5.0, -4.0, -2.5],0.05019912412022557
[-5.0, -4.0, -2.0],0.050322860613873234
[-5.0, -4.0, -1.5],0.05019912412022557
[-5.0, -4.0, -1.0],0.04983293035334045
[-5.0, -4.0, -0.5],0.04923878874077377
[-5.0, -4.0, 0.0],0.04843919745646603
[-5.0, -4.0, 0.5],0.04746246132406855
[-5.0, -4.0, 1.0],0.04634021702715916
[-5.0, -4.0, 1.5],0.0451050409108231
[-5.0, -4.0, 2.0],0.04378842438967059
[-5.0, -4.0, 2.5],0.04241927404083921
[-5.0, -4.0, 3.0],0.041022970538649624
